"Device";"#ospf";"#bgp";"#mac";"#arp"
"salpes-prod-b-4";;;"315";"8"
"spub-fe-e2";;;"28";"3"
"slyo-fed-be-5";;;"107";"3"
"slyo-fed-be-6";;;"107";"3"
"flyo-fed-mg";;;"19";"274"
"smdn2-1b-rc-3";;;"158";"4"
"smdn2-1b-rc-2";;;"158";"4"
"smdn2-1b-rc-1";;;"158";"4"
"rcorbas-fed-2";;;"30";"13"
"rcorbas-fed-1";;;"30";"17"
"sdmz-be-e2";;;"52";"2"
"flyo-spoke-mg";;;"4";"154"
"scbv-sec-hg1";;;"54";"9"
"slyo-prep-ag2-be-1";;;"21";"2"
"slyo-fed-be-nfs-3-2";;;"111";"3"
"sdmz-be-e1";;;"52";"2"
"slyo-fed-be-nfs-3-1";;;"111";"3"
"slyo-fed-be-1";;;"111";"2"
"slyo-fed-be-2";;;"111";"2"
"vcbv-const-2";;;;
"vcbv-const-1";;;;
"scbv-sec-hd1";;;"54";"9"
"l1ly-ose-nmx-2";;;"28";"16"
"slyo-prodf12";;;"54";"7"
"udbron-02";;;"13";"4"
"scbv-savgd0-1";;;"52";"7"
"slyo-prodf14";;;"54";"6"
"rcbv-province";;;"3";"2"
"slyo-prep-e2-me";;;"22";"2"
"scbv-pfd2-i1";;;"54";"7"
"salpes-prod-b-1";;;"315";"8"
"salpes-prod-b-2";;;"315";"8"
"salpes-prod-b-3";;;"315";"8"
"spar-pfd1-i1";;;"54";"4"
"fsbg-spoke-2";;;;
"slyo-spoke-k5-mg-2";;;"21";"3"
"fsbg-spoke-1";;;"1";"4"
"slyo-spoke-k5-mg-1";;;"22";"2"
"scda-800-02";;;"28";"5"
"scbv-ij-2";;;"52";"6"
"scda-800-01";;;"28";"10"
"scbv-ij-1";;;"52";"6"
"slyo-prep-ag1-fe-1";;;"21";"2"
"szac-spoke-1m-mg";;;"21";"2"
"szac-spoke-1m-me";;;"22";"2"
"sdmz-be-c1";;;"28";"3"
"scbv-spoke-be-2";;;"173";"3"
"sboul-spoke-be-2";;;"106";"4"
"sboul-spoke-be-1";;;"106";"4"
"svlz-bur-1";;;"14";"9"
"scbv-ij-3";;;"52";"6"
"scbv-spoke-be-1";;;"173";"3"
"scbv-ij-4";;;"52";"6"
"salpes-sav-b-1";;;"107";"7"
"slyo-spoke-k5-me-1";;;"22";"2"
"salpes-sav-b-2";;;"107";"7"
"slyo-spoke-k5-me-2";;;"21";"3"
"fren-spoke-mg";;;"3";"52"
"slyo-9vod-save-be-1";;;"24";"2"
"scbv-gigg";;;"30";"7"
"scbv-gigd";;;"30";"8"
"fvnx-spoke-be";;;"4";"95"
"sqo-7-1";;;"262";"7"
"fpar-spoke-mg";;;"3";"46"
"slyo-fed-prep-fe-me";;;"72";"3"
"rlyo-vtechd";"1";;"86";"284"
"smdn1-02-2-2";;;"158";"5"
"smdn1-02-2-3";;;"158";"5"
"rlyo-vtechg";"1";;"86";"204"
"rcbv-inethd1";;;"55";"11"
"marse1-cr-sr3";"1";;"158";"19"
"marse1-cr-sr1";"2";;"53";"1144"
